tweetCreate,tweetId,tweetContent,userName,follower
2022-11-30 23:22:45+00:00,1598095218603331585,"RT @YukaO74088588: MAMA

#MAMA
# https://t.co/fIACqEFJ",CherishBogum,2789
2022-11-30 23:22:41+00:00,1598095201465028609,"RT @Stray_Kids: [2022 MAMA]
Stray Kids Do you want to be ODDINARY?

a strange incident + VENOM (MAMA ver.)

https://t.co/3kacDxDSXM
https",chamchamkim,298
2022-11-30 23:22:28+00:00,1598095146628698112,"RT @kiss_seven7:  #RM a travs de Instagram 

: ""Gracias por el Rey-Majestuoso-Mejor Gran-Magnfico Premio, es nuestro ARMY quien lo hiz",shel65131918,136
2022-11-30 23:22:27+00:00,1598095141340078080,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",evydominnie,0
2022-11-30 23:22:17+00:00,1598095097349840897,"RT @kpopggsuperior: #MAMA Best Dance Performance Female Group most recent winners:

2010 - miss A
2011 - miss A
2012 - f(x)
2013 - SISTAR
2",everydayjwy,130
2022-11-30 23:22:14+00:00,1598095085761363969,"RT @yja0614_:    !!!!
         

#MAMA #MAMAAWARDS #BTS @bts_twt",gimsongseullai1,1413
2022-11-30 23:22:13+00:00,1598095083978772481,"RT @MnetMAMA: [#2019MAMA] RSVP MAMA from #WayV #V @WayV_official

An invitation arrived from #WayV just for you!
Send your reply to WayV",echo_grayson,9
2022-11-30 23:22:08+00:00,1598095059513413633,"RT @ENHYPEN_members: 2  
( )

#SUNOO #ENHYPEN #2 #MAMA https://t.co/i6JP1jok7k",rebecaaquino55,580
2022-11-30 23:21:50+00:00,1598094987488825344,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",hynh_lve,154
2022-11-30 23:21:47+00:00,1598094975509868544,"RT @ENHYPEN_members: 2  
( )

#SUNOO #ENHYPEN #2 #MAMA https://t.co/i6JP1jok7k",jinsoo_002,10
2022-11-30 23:21:46+00:00,1598094967637176320,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",Pcy94_Zyx88,322
2022-11-30 23:21:46+00:00,1598094967469395968,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",Iamwho_stay,111
2022-11-30 23:21:40+00:00,1598094943150825474,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",_jaeluvbot,1301
2022-11-30 23:21:40+00:00,1598094942542651392,"RT @TPST__official: [TEMPIC]

22.11.30 #MAMA

 
iE   

iE    !
?
...  ?

Dragon  F",IN_Mom_Penny,755
2022-11-30 23:21:34+00:00,1598094917708173312,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",cb97dimple,441
2022-11-30 23:21:32+00:00,1598094910028410881,"RT @MINI_GlobalJp: 

INI   '  '['s HD] ( :  |  TV) https://t.co/xs0TkeSNjl

/

#INI(@Offi",treasureseve,1322
2022-11-30 23:21:26+00:00,1598094884489277440,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",koong_PL,237
2022-11-30 23:21:26+00:00,1598094884216659969,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",rec_2610,10
2022-11-30 23:21:26+00:00,1598094883775860736,"RT @ENHYPEN_members: 2  
( )

#SUNOO #ENHYPEN #2 #MAMA https://t.co/i6JP1jok7k",cardovslolong,5
2022-11-30 23:21:23+00:00,1598094872065454080,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",virtuallttt,2
2022-11-30 23:21:21+00:00,1598094864209498114,"RT @ENHYPEN_members: #ENHYPEN #JAKE #MAMA

    !! 
 ! 

(2  !!    ) https://t.co/4iuL2hWBNm",JakeIs_MyStar,221
2022-11-30 23:21:19+00:00,1598094857498931201,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",gotodayo___134,127
2022-11-30 23:21:16+00:00,1598094843523530753,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",bebe_stay_97,3
2022-11-30 23:21:14+00:00,1598094833331343360,"RT @ENHYPEN_members: #ENHYPEN #JUNGWON #MAMA

~!!
   
 2 !!!
   https://t.co/7Y8w5VrWJS",cardovslolong,5
2022-11-30 23:21:12+00:00,1598094825769041920,"RT @oricon: ENHYPEN


https://t.co/CiF5WOVEAv

#ENHYPEN #MAMA # #MAMA #2022MAMA #MAMAAWARDS",FWBPwzc6DEdYKeF,5
2022-11-30 23:21:11+00:00,1598094823432409088,"RT @ENHYPEN_members: #ENHYPEN #JUNGWON #MAMA

~!!
   
 2 !!!
   https://t.co/7Y8w5VrWJS",JakeIs_MyStar,221
2022-11-30 23:21:09+00:00,1598094814582820864,"RT @ENHYPEN_members: #ENHYPEN #JAKE #MAMA

    !! 
 ! 

(2  !!    ) https://t.co/4iuL2hWBNm",cardovslolong,5
2022-11-30 23:21:07+00:00,1598094803874742272,"RT @kpopggsuperior: #MAMA Best New Female Artist most recent winners:

2010 - miss A
2011 - Apink
2012 - Ailee
2013 - Crayon Pop
2015 - TWI",KGE924,300
2022-11-30 23:21:06+00:00,1598094802394152960,"RT @Stray_Kids: []
2022 MAMA     3RACHA             .. 

#StrayKids #
#3R",yesungscloudx,340
2022-11-30 23:21:06+00:00,1598094800045355009,"RT @ENHYPEN_members: #ENHYPEN #JAKE #MAMA

    !! 
 ! 

(2  !!    ) https://t.co/4iuL2hWBNm",W4VENHY,77
